1069,"R03DX",1032,0,"",\N,"",\N,0,"cdatc_1069","http://www.cbip.be/fr/contents/jump?amppid=134981","dci_1032"
1070,"G04BX",1033,0,"",\N,"",\N,0,"cdatc_1070","http://www.cbip.be/fr/contents/jump?amppid=151886","dci_1033"
1071,"NULL",1033,\N,\N,\N,\N,\N,0,"cdatc_1071",\N,"dci_1033"
1072,"G04CX",1034,0,"",\N,"",\N,0,"cdatc_1072","","dci_1034"
1073,"B06",1035,0,"",\N,"",\N,0,"cdatc_1073","","dci_1035"
1074,"B06A",1035,0,"",\N,"",\N,0,"cdatc_1074","","dci_1035"
1075,"NULL",1035,\N,\N,\N,\N,\N,0,"cdatc_1075",\N,"dci_1035"
1076,"A11J",1036,0,"",\N,"",\N,0,"cdatc_1076","","dci_1036"
1077,"A07FA10",1037,0,"",\N,"",\N,0,"cdatc_1077","","dci_1037"
1078,"M03AX",1038,0,"",\N,"",\N,0,"cdatc_1078","","dci_1038"
1079,"V06D",1039,0,"",\N,"",\N,0,"cdatc_1079","","dci_1039"
2818,"B05CX03",104,0,"",\N,"",\N,0,"cdatc_2818","","dci_104"
1080,"A12CX70",1040,0,"",\N,"",\N,0,"cdatc_1080","","dci_1040"
1081,"N02AX",1041,0,"",\N,"",\N,0,"cdatc_1081","","dci_1041"
1082,"N07AX",1042,0,"",\N,"",\N,0,"cdatc_1082","","dci_1042"
1083,"L01CX",1043,0,"",\N,"",\N,0,"cdatc_1083","","dci_1043"
1084,"D10BX",1044,0,"",\N,"",\N,0,"cdatc_1084","","dci_1044"
1085,"NULL",1044,\N,\N,\N,\N,\N,0,"cdatc_1085",\N,"dci_1044"
1086,"D10AX",1045,0,"",\N,"",\N,0,"cdatc_1086","","dci_1045"
1087,"B03X",1046,0,"",\N,"",\N,0,"cdatc_1087","","dci_1046"
1088,"B03XA",1046,0,"",\N,"",\N,0,"cdatc_1088","","dci_1046"
1089,"NULL",1047,\N,\N,\N,\N,\N,0,"cdatc_1089",\N,"dci_1047"
1090,"R05X",1048,0,"",\N,"",\N,0,"cdatc_1090","http://www.cbip.be/fr/contents/jump?amppid=35485","dci_1048"
1091,"D11",1049,0,"",\N,"",\N,0,"cdatc_1091","","dci_1049"
1092,"D11A",1049,0,"",\N,"",\N,0,"cdatc_1092","","dci_1049"
2819,"NULL",105,\N,\N,\N,\N,\N,0,"cdatc_2819",\N,"dci_105"
1093,"NULL",1050,\N,\N,\N,\N,\N,0,"cdatc_1093",\N,"dci_1050"
1094,"R01AX",1051,0,"",\N,"",\N,0,"cdatc_1094","","dci_1051"
1095,"R01AX10",1051,0,"",\N,"",\N,0,"cdatc_1095","http://www.cbip.be/fr/contents/jump?amppid=155325","dci_1051"
1096,"NULL",1051,\N,\N,\N,\N,\N,0,"cdatc_1096",\N,"dci_1051"
1097,"R02AX",1052,0,"",\N,"",\N,0,"cdatc_1097","","dci_1052"
1098,"NULL",1052,\N,\N,\N,\N,\N,0,"cdatc_1098",\N,"dci_1052"
1099,"NULL",1053,\N,\N,\N,\N,\N,0,"cdatc_1099",\N,"dci_1053"
1100,"NULL",1054,\N,\N,\N,\N,\N,0,"cdatc_1100",\N,"dci_1054"
1101,"A11H",1055,0,"",\N,"",\N,0,"cdatc_1101","","dci_1055"
1102,"A11HA",1055,0,"",\N,"",\N,0,"cdatc_1102","","dci_1055"
1103,"NULL",1055,\N,\N,\N,\N,\N,0,"cdatc_1103",\N,"dci_1055"
1104,"C05AX03",1056,5,"g",\N,"",\N,0,"cdatc_1104","http://www.cbip.be/fr/contents/jump?amppid=24885","dci_1056"
1105,"NULL",1056,\N,\N,\N,\N,\N,0,"cdatc_1105",\N,"dci_1056"
1106,"NULL",1057,\N,\N,\N,\N,\N,0,"cdatc_1106",\N,"dci_1057"
1107,"NULL",1058,\N,\N,\N,\N,\N,0,"cdatc_1107",\N,"dci_1058"
1108,"V07AY10",1058,0,"",\N,"",\N,0,"cdatc_1108","","dci_1058"
1109,"A08AX",1059,0,"",\N,"",\N,0,"cdatc_1109","","dci_1059"
2820,"J01XA",106,0,"",\N,"",\N,0,"cdatc_2820","","dci_106"
1110,"V08CX",1060,0,"",\N,"",\N,0,"cdatc_1110","","dci_1060"
1111,"V09X",1061,0,"",\N,"",\N,0,"cdatc_1111","","dci_1061"
1112,"V09HX",1062,0,"",\N,"",\N,0,"cdatc_1112","","dci_1062"
1113,"V09IX",1063,0,"",\N,"",\N,0,"cdatc_1113","","dci_1063"
1114,"V09DX",1064,0,"",\N,"",\N,0,"cdatc_1114","","dci_1064"
1115,"V09CX",1065,0,"",\N,"",\N,0,"cdatc_1115","","dci_1065"
1116,"V09GX",1066,0,"",\N,"",\N,0,"cdatc_1116","","dci_1066"
1117,"V09EX",1067,0,"",\N,"",\N,0,"cdatc_1117","","dci_1067"
1118,"V09AX",1068,0,"",\N,"",\N,0,"cdatc_1118","","dci_1068"
1119,"V10X",1069,0,"",\N,"",\N,0,"cdatc_1119","","dci_1069"
2821,"A03AB02",107,3,"mg",\N,"",\N,0,"cdatc_2821","http://www.cbip.be/fr/contents/jump?amppid=12104","dci_107"
1120,"V10AX",1070,0,"",\N,"",\N,0,"cdatc_1120","","dci_1070"
1121,"B05AX",1071,0,"",\N,"",\N,0,"cdatc_1121","","dci_1071"
